"date","num"
"15-Aug-16","1"
"22-Aug-16","1"
"23-Aug-16","1"
"16-Oct-16","1"
"14-Mar-17","1"
"8-Apr-17","7"
"9-Apr-17","3"
"10-Apr-17","2"
"14-Apr-17","12"
"15-Apr-17","14"
"16-Apr-17","2"
"17-Apr-17","1"
"18-Apr-17","1"
"19-Apr-17","3"
"20-Apr-17","3"
"21-Apr-17","3"
"22-Apr-17","5"
"23-Apr-17","3"
"24-Apr-17","3"
"25-Apr-17","4"
"26-Apr-17","5"
"27-Apr-17","4"
"28-Apr-17","1"
"30-Apr-17","3"
"1-May-17","5"
"2-May-17","4"
"3-May-17","1"
"4-May-17","1"
"5-May-17","3"
"8-May-17","3"
"9-May-17","3"
"10-May-17","2"
"11-May-17","29"
"12-May-17","1029"
"13-May-17","2320"
"14-May-17","3053"
"15-May-17","5978"
"16-May-17","5868"
"17-May-17","4218"
"18-May-17","3687"
"19-May-17","11719"
"20-May-17","1242"
